GEOID,year,candidatevotes,totalvotes,voteshare
 1025,2008,5914,13435,44.019352437662825
 1025,2012,6334,13851,45.72955021298101
 1025,2016,5749,13031,44.11787276494513
 1025,2020,5755,13135,43.81423677198325
 1025,2024,4927,11958,41.20254223114233
 1027,2000,2045,5883,34.761176270610235
 1027,2004,1893,6576,28.786496350364963
 1027,2008,1760,6819,25.810236105000733
 1027,2012,1777,6662,26.673671570099067
 1027,2016,1237,6624,18.67451690821256
 1027,2020,1267,6930,18.282828282828284
 1027,2024,993,6767,14.674153982562435
 1029,2000,1664,5092,32.67871170463472
 1029,2004,1391,5798,23.99103139013453
 1029,2008,1168,6492,17.991373998767717
 1029,2012,971,6305,15.400475812846947
 1029,2016,684,6593,10.37463976945245
 1029,2020,675,7227,9.339975093399751
 1029,2024,605,7651,7.9074630767219976
 1031,2000,5220,15434,33.821433199429826
 1031,2004,4480,17616,25.431425976385103
 1031,2008,5079,20128,25.233505564387915
 1031,2012,4925,19770,24.911482043500254
 1031,2016,4221,20767,20.325516444358836
 1031,2020,5076,22275,22.78787878787879
 1031,2024,4601,22319,20.614722881849545
 1033,2000,10543,21532,48.964332156789894
 1033,2004,10598,23935,44.278253603509505
 1033,2008,9703,24843,39.05727971662037
 1033,2012,9166,23385,39.19606585418003
 1033,2016,7312,24915,29.34778246036524
 1033,2020,8343,27886,29.91823854263788
 1033,2024,7137,27160,26.27761413843888
 1035,2000,2783,5551,50.13511079084849
 1035,2004,2719,6021,45.158611526324535
 1035,2008,3429,6943,49.387872677516924
 1035,2012,3555,7022,50.62660210766163
 1035,2016,3080,6585,46.77296886864085
 1035,2020,2966,6441,46.04875019406924
 1035,2024,2580,6051,42.63758056519584
 1037,2000,2104,4567,46.069629954017955
 1037,2004,2055,5001,41.09178164367127
 1037,2008,2273,5563,40.8592486068668
 1037,2012,2191,5269,41.582843044220915
 1037,2016,1782,5252,33.92993145468393
